component,WAIS_to_GIS,WAIS_to_GIS,AMOC_to_GIS,AMOC_to_GIS,GIS_to_AMOC,GIS_to_AMOC,NINO_to_AMOC,NINO_to_AMOC,WAIS_to_AMOC,WAIS_to_AMOC,NINO_to_WAIS,NINO_to_WAIS,AMOC_to_WAIS,AMOC_to_WAIS,GIS_to_WAIS,GIS_to_WAIS,NINO_to_Amazonas,NINO_to_Amazonas,AMOC_to_Amazonas,AMOC_to_Amazonas,AMOC_to_NINO,AMOC_to_NINO,AWSI_to_AMOC,AWSI_to_AMOC,AWSI_to_GIS,AWSI_to_GIS,AWSI_to_PERM,AWSI_to_PERM,AMOC_to_AWSI,AMOC_to_AWSI,AMOC_to_WAM,AMOC_to_WAM,NINO_to_REEF,NINO_to_REEF,PERM_to_AMOC,PERM_to_AMOC
axis,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac
9,,,0.14838709677419354,-0.11111111111111105,1.2761020881670533,0.09090909090909091,0.01583710407239819,-0.3668341708542714,0.15034965034965034,-0.9090909090909091,5.064935064935065,0.09090909090909091,,,5.098039215686274,0.09090909090909091,2.980276134122288,0.09090909090909091,0.05052430886558627,-0.2222222222222222,0.028720626631853787,-0.5353535353535352,2.633674630261661,0.09090909090909091,,,1.506578947368421,0.09090909090909091,0.15217391304347827,-0.13131313131313127,,,,,,
10,,,0.16774193548387098,-0.10101010101010088,1.3120649651972158,0.10101010101010102,0.020361990950226245,-0.35678391959798994,0.15268065268065267,-0.898989898989899,,,,,,,3.2159763313609466,0.10101010101010102,0.058150619637750235,-0.21212121212121204,0.031331592689295036,-0.5252525252525252,2.91353811149033,0.10101010101010102,,,1.5723684210526316,0.10101010101010102,0.1956521739130435,-0.1212121212121211,,,,,,
11,,,0.21935483870967742,-0.09090909090909083,1.334106728538283,0.11111111111111112,0.026018099547511313,-0.3467336683417085,0.15384615384615385,-0.8888888888888888,,,,,,,3.41025641025641,0.11111111111111112,0.07054337464251668,-0.202020202020202,0.0391644908616188,-0.5151515151515151,3.2127417519908987,0.11111111111111112,,,1.6546052631578947,0.11111111111111112,0.2391304347826087,-0.11111111111111105,,,,,,
12,,,0.2709677419354839,-0.08080808080808077,1.363109048723898,0.12121212121212122,0.03167420814479638,-0.33668341708542715,0.15734265734265734,-0.8787878787878788,,,,,,,3.5976331360946747,0.12121212121212122,0.08579599618684461,-0.19191919191919182,0.044386422976501305,-0.4747474747474747,,,,,1.743421052631579,0.12121212121212122,0.2826086956521739,-0.10101010101010088,,,,,,
13,,,0.3161290322580645,-0.07070707070707061,1.4037122969837588,0.13131313131313133,0.033936651583710405,-0.3266331658291457,0.16083916083916083,-0.8686868686868687,,,,,,,3.741617357001972,0.13131313131313133,0.09723546234509056,-0.18181818181818177,0.05221932114882506,-0.46464646464646464,,,,,1.799342105263158,0.13131313131313133,0.32608695652173914,-0.09090909090909083,,,,,,
14,,,0.3935483870967742,-0.06060606060606055,1.4408352668213458,0.14141414141414144,0.03619909502262444,-0.31658291457286436,0.16317016317016317,-0.8484848484848485,,,,,,,3.8185404339250493,0.14141414141414144,0.11058150619637751,-0.1717171717171716,0.06005221932114883,-0.4545454545454545,,,,,1.875,0.14141414141414144,0.41304347826086957,-0.08080808080808077,,,,,,
15,,,0.49032258064516127,-0.050505050505050386,1.4849187935034802,0.15151515151515152,0.0418552036199095,-0.3065326633165829,0.1655011655011655,-0.8383838383838383,,,,,,,3.898422090729783,0.15151515151515152,0.12488083889418494,-0.16161616161616155,0.06788511749347259,-0.4444444444444444,,,,,1.980263157894737,0.15151515151515152,0.5108695652173914,-0.07070707070707061,,,,,,
16,,,0.5741935483870968,-0.04040404040404033,1.5406032482598608,0.16161616161616163,0.048642533936651584,-0.29648241206030146,0.17016317016317017,-0.8282828282828283,,,,,,,3.937869822485207,0.16161616161616163,0.14585319351763584,-0.1515151515151515,0.0731070496083551,-0.43434343434343425,,,,,2.0526315789473686,0.16161616161616163,0.5978260869565217,-0.06060606060606055,,,,,,
17,,,0.6516129032258065,-0.030303030303030276,1.5812064965197217,0.17171717171717174,0.05542986425339366,-0.2864321608040201,0.17365967365967366,-0.8181818181818181,,,,,,,3.9447731755424065,0.17171717171717174,0.1601525262154433,-0.14141414141414133,0.0835509138381201,-0.4242424242424242,,,,,,,0.6847826086956522,-0.050505050505050386,,,,,,
18,,,0.7806451612903226,-0.02020202020202011,1.6252900232018561,0.18181818181818182,0.06447963800904978,-0.27638190954773867,0.175990675990676,-0.8080808080808081,,,,,,,,,0.18303145853193517,-0.13131313131313127,0.08877284595300261,-0.41414141414141414,,,,,,,0.7391304347826086,-0.04040404040404033,,,,,,
19,,,0.9032258064516129,-0.010101010101010055,1.6809744779582367,0.19191919191919193,0.07126696832579185,-0.26633165829145733,0.1794871794871795,-0.797979797979798,,,,,,,,,0.21067683508102955,-0.1212121212121211,0.10182767624020887,-0.404040404040404,,,,,,,0.7717391304347826,-0.030303030303030276,,,,,,
20,,,1.0,0.0,1.754060324825986,0.20202020202020204,0.07918552036199095,-0.2562814070351759,0.18298368298368298,-0.7878787878787878,,,,,,,,,0.23927550047664442,-0.11111111111111105,0.10704960835509138,-0.3939393939393939,,,,,,,0.8804347826086957,-0.02020202020202011,,,,,,
21,,,,,1.8004640371229699,0.21212121212121213,0.0916289592760181,-0.24623115577889443,0.1853146853146853,-0.7777777777777778,,,,,,,,,0.2716873212583413,-0.10101010101010088,0.11488250652741515,-0.38383838383838376,,,,,,,0.9456521739130435,-0.010101010101010055,,,,,,
22,,,,,1.877030162412993,0.22222222222222224,0.10067873303167421,-0.2361809045226131,0.19114219114219114,-0.7676767676767676,,,,,,,,,0.30505243088655865,-0.09090909090909083,0.12532637075718014,-0.3737373737373737,,,,,,,1.0,0.0,,,,,,
23,,,,,1.9466357308584687,0.23232323232323235,0.1085972850678733,-0.22613065326633164,0.1958041958041958,-0.7575757575757576,,,,,,,,,0.34509056244041947,-0.08080808080808077,0.13054830287206268,-0.36363636363636354,,,,,,,,,,,,,,
24,,,,,2.0139211136890953,0.24242424242424243,0.1165158371040724,-0.2160804020100502,0.20046620046620048,-0.7474747474747474,,,,,,,,,0.39275500476644426,-0.07070707070707061,0.13315926892950392,-0.3535353535353535,,,,,,,,,,,,,,
25,,,,,2.0881670533642693,0.25252525252525254,0.13574660633484162,-0.20603015075376885,0.20279720279720279,-0.7373737373737373,,,,,,,,,0.4470924690181125,-0.06060606060606055,0.14360313315926893,-0.3434343434343434,,,,,,,,,,,,,,
26,,,,,2.163573085846868,0.26262626262626265,0.15610859728506787,-0.1959798994974874,0.21328671328671328,-0.7272727272727273,,,,,,,,,0.5290753098188751,-0.050505050505050386,0.1514360313315927,-0.33333333333333326,,,,,,,,,,,,,,
27,,,,,2.2482598607888633,0.27272727272727276,0.16855203619909503,-0.18592964824120606,0.21678321678321677,-0.7171717171717171,,,,,,,,,0.5958055290753098,-0.04040404040404033,0.16449086161879894,-0.3232323232323232,,,,,,,,,,,,,,
28,,,,,2.331786542923434,0.2828282828282829,0.19796380090497737,-0.1758793969849246,0.22144522144522144,-0.7070707070707071,,,,,,,,,0.680648236415634,-0.030303030303030276,0.1801566579634465,-0.31313131313131304,,,,,,,,,,,,,,
