component,WAIS_to_GIS,WAIS_to_GIS,AMOC_to_GIS,AMOC_to_GIS,GIS_to_AMOC,GIS_to_AMOC,NINO_to_AMOC,NINO_to_AMOC,WAIS_to_AMOC,WAIS_to_AMOC,NINO_to_WAIS,NINO_to_WAIS,AMOC_to_WAIS,AMOC_to_WAIS,GIS_to_WAIS,GIS_to_WAIS,NINO_to_Amazonas,NINO_to_Amazonas,AMOC_to_Amazonas,AMOC_to_Amazonas,AMOC_to_NINO,AMOC_to_NINO,AWSI_to_AMOC,AWSI_to_AMOC,AWSI_to_GIS,AWSI_to_GIS,AWSI_to_PERM,AWSI_to_PERM,AMOC_to_AWSI,AMOC_to_AWSI,AMOC_to_WAM,AMOC_to_WAM,NINO_to_REEF,NINO_to_REEF,PERM_to_AMOC,PERM_to_AMOC
axis,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac,pf,interaction_fac
0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.07653061224489796,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0
10,,,0.42105263157894735,-0.06060606060606055,1.32171581769437,0.10101010101010102,0.044386422976501305,-0.2361809045226131,0.11224489795918367,-0.8686868686868687,5.8076923076923075,0.10101010101010102,,,5.368421052631579,0.10101010101010102,5.021201413427562,0.10101010101010102,0.28350515463917525,-0.06060606060606055,,,3.059620596205962,0.10101010101010102,,,,,,,,,,,,
11,,,0.49122807017543857,-0.050505050505050386,1.3378016085790885,0.11111111111111112,0.04960835509138381,-0.22613065326633164,0.12244897959183673,-0.8484848484848485,,,,,,,5.893992932862191,0.11111111111111112,0.3556701030927835,-0.050505050505050386,,,,,,,,,,,,,,,,
12,,,0.5789473684210527,-0.04040404040404033,1.3806970509383378,0.12121212121212122,0.05483028720626632,-0.2160804020100502,0.13010204081632654,-0.8080808080808081,,,,,,,6.985865724381625,0.12121212121212122,0.44329896907216493,-0.04040404040404033,,,,,,,,,,,,,,,,
13,,,0.6491228070175439,-0.030303030303030276,1.4262734584450403,0.13131313131313133,0.06527415143603134,-0.20603015075376885,0.1326530612244898,-0.797979797979798,,,,,,,8.226148409893993,0.13131313131313133,0.5412371134020618,-0.030303030303030276,,,,,,,,,,,,,,,,
14,,,0.7894736842105263,-0.02020202020202011,1.477211796246649,0.14141414141414144,0.07049608355091384,-0.1959798994974874,0.13520408163265307,-0.7878787878787878,,,,,,,9.434628975265017,0.14141414141414144,0.7010309278350515,-0.02020202020202011,,,,,,,,,,,,,,,,
15,,,0.8947368421052632,-0.010101010101010055,1.517426273458445,0.15151515151515152,0.09660574412532637,-0.18592964824120606,0.1377551020408163,-0.7777777777777778,,,,,,,10.526501766784452,0.15151515151515152,0.8144329896907216,-0.010101010101010055,,,,,,,,,,,,,,,,
16,,,1.0,0.0,1.579088471849866,0.16161616161616163,0.10966057441253264,-0.1758793969849246,0.14285714285714285,-0.7676767676767676,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
17,,,,,1.6005361930294906,0.17171717171717174,0.13577023498694518,-0.16582914572864316,0.14795918367346939,-0.7575757575757576,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,1.646112600536193,0.18181818181818182,0.15926892950391644,-0.15577889447236182,0.15051020408163265,-0.7373737373737373,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,1.6943699731903485,0.19191919191919193,0.1801566579634465,-0.14572864321608037,0.1556122448979592,-0.7171717171717171,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,1.7238605898123325,0.20202020202020204,0.19321148825065274,-0.13567839195979903,0.16581632653061223,-0.7070707070707071,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,1.7962466487935658,0.21212121212121213,0.21409921671018275,-0.12562814070351758,0.1683673469387755,-0.696969696969697,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,1.8579088471849865,0.22222222222222224,0.2402088772845953,-0.11557788944723613,0.1760204081632653,-0.6868686868686869,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,1.9249329758713136,0.23232323232323235,0.27676240208877284,-0.10552763819095479,0.1836734693877551,-0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,1.9785522788203753,0.24242424242424243,0.31070496083550914,-0.09547738693467334,0.1913265306122449,-0.6464646464646464,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,2.037533512064343,0.25252525252525254,0.3394255874673629,-0.085427135678392,0.19642857142857142,-0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,2.0777479892761392,0.26262626262626265,0.3838120104438642,-0.07537688442211055,0.1989795918367347,-0.6262626262626263,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,2.1474530831099194,0.27272727272727276,0.43342036553524804,-0.0653266331658291,0.20918367346938777,-0.6161616161616161,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,2.2064343163538873,0.2828282828282829,0.5013054830287206,-0.055276381909547756,0.21683673469387754,-0.606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,2.2761394101876675,0.29292929292929293,0.5822454308093995,-0.045226130653266305,0.22193877551020408,-0.5959595959595959,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,2.351206434316354,0.30303030303030304,0.6501305483028721,-0.035175879396984966,0.22704081632653061,-0.5858585858585859,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,2.442359249329759,0.31313131313131315,0.7258485639686684,-0.025125628140703515,0.23214285714285715,-0.5656565656565656,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,2.552278820375335,0.32323232323232326,0.8198433420365535,-0.015075376884422065,0.2372448979591837,-0.5454545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,2.6461126005361932,0.33333333333333337,0.9451697127937336,-0.005025125628140725,0.2423469387755102,-0.5353535353535352,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,2.7292225201072386,0.3434343434343435,1.073107049608355,0.005025125628140614,0.24744897959183673,-0.5252525252525252,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,2.863270777479893,0.3535353535353536,1.1879895561357703,0.015075376884422065,0.25510204081632654,-0.5151515151515151,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,2.9785522788203753,0.36363636363636365,1.3080939947780679,0.025125628140703515,0.26785714285714285,-0.505050505050505,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,3.099195710455764,0.37373737373737376,1.4595300261096606,0.035175879396984966,0.2857142857142857,-0.4949494949494949,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,3.193029490616622,0.38383838383838387,1.629242819843342,0.045226130653266416,0.29081632653061223,-0.48484848484848475,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,3.310991957104558,0.393939393939394,1.7963446475195823,0.055276381909547645,0.29591836734693877,-0.4747474747474747,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,3.455764075067024,0.4040404040404041,1.9921671018276763,0.0653266331658291,0.3086734693877551,-0.46464646464646464,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,3.5898123324396782,0.4141414141414142,2.195822454308094,0.07537688442211055,0.3137755102040816,-0.4545454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,3.71313672922252,0.42424242424242425,,,0.3163265306122449,-0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,3.8659517426273458,0.43434343434343436,,,0.3239795918367347,-0.43434343434343425,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,4.018766756032171,0.4444444444444445,,,0.32908163265306123,-0.4242424242424242,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,4.2117962466487935,0.4545454545454546,,,0.34438775510204084,-0.404040404040404,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,4.380697050938338,0.4646464646464647,,,0.35459183673469385,-0.3939393939393939,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,4.53083109919571,0.4747474747474748,,,0.3596938775510204,-0.38383838383838376,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,4.670241286863271,0.48484848484848486,,,0.37244897959183676,-0.3737373737373737,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,4.81769436997319,0.494949494949495,,,0.3852040816326531,-0.36363636363636354,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,4.989276139410188,0.5050505050505051,,,0.3903061224489796,-0.3535353535353535,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,5.131367292225201,0.5151515151515152,,,0.4107142857142857,-0.3434343434343434,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,5.305630026809651,0.5252525252525253,,,0.413265306122449,-0.33333333333333326,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,5.46916890080429,0.5353535353535354,,,0.4260204081632653,-0.3232323232323232,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,5.646112600536193,0.5454545454545455,,,0.44642857142857145,-0.31313131313131304,,,,,,,,,,,,,,,,,,,,,,,,,,
