#T_peak T_lim t_conv R mu_0 mu_1
3.0 1.0 600 0.0249 0.0015 0.0000179
3.0 1.0 700 0.022 0.0015 0.0000129
3.0 1.0 800 0.0199 0.0015 0.00000969
3.0 1.0 900 0.0182 0.0015 0.0000075
3.0 1.0 1000 0.0169 0.0015 0.00000595
3.0 1.5 100 0.115 0.0015 0.0007
3.0 1.5 200 0.059 0.0015 0.00017
3.0 1.5 300 0.04075 0.0015 0.0000738
3.0 1.5 400 0.0315 0.0015 0.0000407
3.0 1.5 500 0.026 0.0015 0.0000256
3.0 1.5 600 0.0225 0.0015 0.0000174
3.0 1.5 700 0.02 0.0015 0.00001255
3.0 1.5 800 0.018 0.0015 0.00000939
3.0 1.5 900 0.0165 0.0015 0.000007275
3.0 1.5 1000 0.01525 0.0015 0.00000576
3.0 2.0 100 0.098 0.0015 0.000675
3.0 2.0 200 0.051 0.0015 0.000165
3.0 2.0 300 0.035 0.0015 0.0000715
3.0 2.0 400 0.0272 0.0015 0.0000393
3.0 2.0 500 0.0227 0.0015 0.0000246
3.0 2.0 600 0.019675 0.0015 0.00001675
3.0 2.0 700 0.01725 0.0015 0.000012
3.0 2.0 800 0.01575 0.0015 0.00000902
3.0 2.0 900 0.0144 0.0015 0.00000696
3.0 2.0 1000 0.0134 0.0015 0.00000551
3.5 0.0 100 0.1919 0.0015 0.00077
3.5 0.0 200 0.0976 0.0015 0.000186
3.5 0.0 300 0.0667 0.0015 0.000081
3.5 0.0 400 0.0512 0.0015 0.0000446
3.5 0.0 500 0.0421 0.0015 0.0000281
3.5 0.0 600 0.036 0.0015 0.00001915
3.5 0.0 700 0.0317 0.0015 0.00001382
3.5 0.0 800 0.0285 0.0015 0.0000104
3.5 0.0 900 0.026 0.0015 0.00000806
3.5 0.0 1000 0.024 0.0015 0.0000064
3.5 0.5 100 0.18 0.0015 0.000766
3.5 0.5 200 0.0913 0.0015 0.000183
3.5 0.5 300 0.0625 0.0015 0.0000799
3.5 0.5 400 0.0482 0.0015 0.000044
3.5 0.5 500 0.0396 0.0015 0.0000277
3.5 0.5 600 0.034 0.0015 0.00001892
3.5 0.5 700 0.0299 0.0015 0.0000136
3.5 0.5 800 0.0269 0.0015 0.00001024
3.5 0.5 900 0.02457 0.0015 0.00000793
3.5 0.5 1000 0.0227 0.0015 0.0000063
3.5 1.0 100 0.166 0.0015 0.00075
3.5 1.0 200 0.0846 0.0015 0.0001806
3.5 1.0 300 0.058 0.0015 0.0000785
3.5 1.0 400 0.0449 0.0015 0.0000435
3.5 1.0 500 0.0369 0.0015 0.0000272
3.5 1.0 600 0.03172 0.0015 0.00001858
3.5 1.0 700 0.02795 0.0015 0.0000134
3.5 1.0 800 0.02515 0.0015 0.00001004
3.5 1.0 900 0.023 0.0015 0.00000778
3.5 1.0 1000 0.0213 0.0015 0.00000618
3.5 1.5 100 0.1508 0.0015 0.00073
3.5 1.5 200 0.0773 0.0015 0.000177
3.5 1.5 300 0.053 0.0015 0.0000769
3.5 1.5 400 0.0412 0.0015 0.0000426
3.5 1.5 500 0.034 0.0015 0.0000267
3.5 1.5 600 0.02915 0.0015 0.00001815
3.5 1.5 700 0.0258 0.0015 0.00001309
3.5 1.5 800 0.02325 0.0015 0.00000982
3.5 1.5 900 0.0213 0.0015 0.00000761
3.5 1.5 1000 0.01974 0.0015 0.000006046
3.5 2.0 100 0.134 0.0015 0.00071
3.5 2.0 200 0.0691 0.0015 0.000173
3.5 2.0 300 0.0476 0.0015 0.0000751
3.5 2.0 400 0.037 0.0015 0.00004155
3.5 2.0 500 0.03063 0.0015 0.00002605
3.5 2.0 600 0.0264 0.0015 0.0000177
3.5 2.0 700 0.0234 0.0015 0.00001275
3.5 2.0 800 0.0211 0.0015 0.00000955
3.5 2.0 900 0.0194 0.0015 0.0000074
3.5 2.0 1000 0.018 0.0015 0.00000586
4.0 0.0 100 0.227 0.0015 0.00078
4.0 0.0 200 0.116 0.0015 0.000191
4.0 0.0 300 0.0796 0.0015 0.000083
4.0 0.0 400 0.0615 0.0015 0.0000458
4.0 0.0 500 0.05 0.0015 0.0000287
4.0 0.0 600 0.043 0.0015 0.00001964
4.0 0.0 700 0.0379 0.0015 0.00001415
4.0 0.0 800 0.034 0.0015 0.00001065
4.0 0.0 900 0.031 0.0015 0.00000825
4.0 0.0 1000 0.0285 0.0015 0.00000656
4.0 0.5 100 0.214 0.0015 0.00077
4.0 0.5 200 0.11 0.0015 0.000188
4.0 0.5 300 0.0752 0.0015 0.000082
4.0 0.5 400 0.058 0.0015 0.0000452
4.0 0.5 500 0.0475 0.0015 0.0000284
4.0 0.5 600 0.041 0.0015 0.0000194
4.0 0.5 700 0.0359 0.0015 0.00001396
4.0 0.5 800 0.03225 0.0015 0.0000105
4.0 0.5 900 0.0295 0.0015 0.00000814
4.0 0.5 1000 0.0273 0.0015 0.00000648
4.0 1.0 100 0.201 0.0015 0.00076
4.0 1.0 200 0.103 0.0015 0.000186
4.0 1.0 300 0.071 0.0015 0.000081
4.0 1.0 400 0.0545 0.0015 0.0000446
4.0 1.0 500 0.045 0.0015 0.000028
4.0 1.0 600 0.0385 0.0015 0.00001912
4.0 1.0 700 0.0339 0.0015 0.00001376
4.0 1.0 800 0.0306 0.0015 0.00001036
4.0 1.0 900 0.028 0.0015 0.00000803
4.0 1.0 1000 0.0258 0.0015 0.00000638
4.0 1.5 100 0.188 0.0015 0.00075
4.0 1.5 200 0.0955 0.0015 0.000183
4.0 1.5 300 0.066 0.0015 0.0000795
4.0 1.5 400 0.051 0.0015 0.000044
4.0 1.5 500 0.042 0.0015 0.0000276
4.0 1.5 600 0.036 0.0015 0.0000188
4.0 1.5 700 0.0319 0.0015 0.00001356
4.0 1.5 800 0.0286 0.0015 0.00001018
4.0 1.5 900 0.0262 0.0015 0.00000788
4.0 1.5 1000 0.0243 0.0015 0.00000626
4.0 2.0 100 0.17 0.0015 0.00074
4.0 2.0 200 0.0877 0.0015 0.000180
4.0 2.0 300 0.0605 0.0015 0.0000781
4.0 2.0 400 0.047 0.0015 0.0000432
4.0 2.0 500 0.0385 0.0015 0.00002705
4.0 2.0 600 0.0332 0.0015 0.00001842
4.0 2.0 700 0.0294 0.0015 0.00001328
4.0 2.0 800 0.0266 0.0015 0.00000997
4.0 2.0 900 0.0244 0.0015 0.00000772
4.0 2.0 1000 0.0225 0.0015 0.00000612
4.5 0.0 100 0.2643 0.0015 0.0008
4.5 0.0 200 0.1352 0.0015 0.0001945
4.5 0.0 300 0.0921 0.0015 0.0000845
4.5 0.0 400 0.0708 0.0015 0.0000466
4.5 0.0 500 0.05825 0.0015 0.0000293
4.5 0.0 600 0.04978 0.0015 0.00002
4.5 0.0 700 0.0438 0.0015 0.00001443
4.5 0.0 800 0.0394 0.0015 0.00001085
4.5 0.0 900 0.0359 0.0015 0.00000843
4.5 0.0 1000 0.0332 0.0015 0.00000670
4.5 0.5 100 0.251 0.0015 0.00079
4.5 0.5 200 0.1282 0.0015 0.0001922
4.5 0.5 300 0.0878 0.0015 0.0000835
4.5 0.5 400 0.0675 0.0015 0.0000461
4.5 0.5 500 0.0556 0.0015 0.000029
4.5 0.5 600 0.0476 0.0015 0.0000198
4.5 0.5 700 0.0419 0.0015 0.00001428
4.5 0.5 800 0.0377 0.0015 0.00001073
4.5 0.5 900 0.0344 0.0015 0.00000833
4.5 0.5 1000 0.03181 0.0015 0.00000662
4.5 1.0 100 0.2367 0.0015 0.00078
4.5 1.0 200 0.1213 0.0015 0.0001899
4.5 1.0 300 0.0831 0.0015 0.0000825
4.5 1.0 400 0.0641 0.0015 0.0000456
4.5 1.0 500 0.05275 0.0015 0.0000287
4.5 1.0 600 0.0453 0.0015 0.00001957
4.5 1.0 700 0.0399 0.0015 0.00001413
4.5 1.0 800 0.0359 0.0015 0.00001061
4.5 1.0 900 0.0328 0.0015 0.00000823
4.5 1.0 1000 0.03035 0.0015 0.00000654
4.5 1.5 100 0.222 0.0015 0.00077
4.5 1.5 200 0.114 0.0015 0.0001875
4.5 1.5 300 0.0782 0.0015 0.0000817
4.5 1.5 400 0.0605 0.0015 0.0000451
4.5 1.5 500 0.0498 0.0015 0.0000283
4.5 1.5 600 0.0427 0.0015 0.00001927
4.5 1.5 700 0.03777 0.0015 0.00001393
4.5 1.5 800 0.0340 0.0015 0.00001046
4.5 1.5 900 0.0311 0.0015 0.00000811
4.5 1.5 1000 0.0288 0.0015 0.00000644
4.5 2.0 100 0.2062 0.0015 0.00076
4.5 2.0 200 0.1062 0.0015 0.000185
4.5 2.0 300 0.073 0.0015 0.0000807
4.5 2.0 400 0.0564 0.0015 0.0000443
4.5 2.0 500 0.0466 0.0015 0.0000279
4.5 2.0 600 0.0400 0.0015 0.00001900
4.5 2.0 700 0.0355 0.0015 0.0000137
4.5 2.0 800 0.0319 0.0015 0.00001029
4.5 2.0 900 0.0292 0.0015 0.00000796
4.5 2.0 1000 0.0271 0.0015 0.00000633
5.0 0.0 100 0.3 0.0015 0.00081
5.0 0.0 200 0.153 0.0015 0.0001965
5.0 0.0 300 0.105 0.0015 0.000086
